Device,Port,IPv4,IPv6,VLAN,Link,Comment
VPC8,eth0,200.0.0.8,2001:2042:8:9::1,80,VPC8 eth0 – e0/2 SW9,
VPC11,eth0,200.0.1.11,2001:2042:10:11::2,110,VPC11 eth0 – e0/2 SW10,
SW9,,172.16.0.9,,1100,,Management
SW9,e0/2,200.0.0.1,2001:2042:8:9::2,80,SW9 e0/2 - eth0 VPC8,End Users
SW9,,10.0.1.9,2001:0:9:17::1,-,SW9 e0/3 - e0/0 R17,End Users
SW10,,172.0.0.10,,1100,,Management
SW10,e0/2,200.0.1.1,2001:2042:10:11::1,110,SW10 e0/2 - eth0 VPC11,Management
SW10,,10.0.0.10,2001:0:10:16::1,-,SW10 e0/3-e0/0 R16,End Users
R16,e0/0,10.0.0.16,2001:0:10:16::2,-,R16 e0/0 – e0/3 SW10,Connectivity
R16,e0/1,10.0.1.16,2001:0:16:18::1,-,R16 e0/1 – e0/0 R18,Connectivity
R16,e0/2,10.0.2.16,2001:0:16:9::1,-,R16 e0/2 – e1/0 SW9,Robustness
R16,e0/3,10.0.3.16,2001:0:16:32::1,-,R16 e0/3 – e0/0 R32,Default (EIGRP)
R17,e0/0,10.0.1.17,2001:0:9:17::2,-,R17 e0/0 – e0/3 SW9,Connectivity
R17,e0/1,10.0.0.17,2001:0:17:18::1,-,R17 e0/1 – e0/1 R18,Connectivity
R17,e0/2,10.0.2.17,2001:0:10:17::2,-,R17 e0/2 – e1/0 SW10,Robustness
R18,e0/0,10.0.1.18,2001:0:16:18::2,-,R18 e0/0 – e0/1 R16,Connectivity
R18,e0/1,10.0.0.18,2001:0:17:18::2,-,R18 e0/1 – e0/1 R17,Connectivity
R18,e0/2,52.0.1.18,2001:520:18:24::1,-,R18 e0/2 – e0/3 R24,BGP: Provider link
R18,e0/3,52.0.2.18,2001:520:18:26::1,-,R18 e0/3 – e0/3 R26,BGP: Provider link
R32,e0/0,10.0.3.32,2001:0:16:32::2,-,R32 e0/0 – e0/3 R16,Default (EIGRP)
